"session","session_id","study_id","iteration","created","modified","ended","expired","consent_text_mandatory","Q2","Q4_oa","Q4_rdm","Q4_fair","Q4_code","Q4_material","Q4_prereg","Q4_rr","Q5_oa","Q5_rdm","Q5_fair","Q5_code","Q5_material","Q5_prereg","Q5_rr","Q6_oa","Q6_rdm","Q6_fair","Q6_code","Q6_material","Q6_prereg","Q6_rr","Q6_oa_comment","Q6_rdm_comment","Q6_fair_comment","Q6_code_comment","Q6_material_comment","Q6_prereg_comment","Q6_rr_comment","Q7_oa","Q7_rdm","Q7_fair","Q7_code","Q7_material","Q7_prereg","Q7_rr","Q7_oa_comment","Q7_rdm_comment","Q7_fair_comment","Q7_code_comment","Q7_material_comment","Q7_prereg_comment","Q7_rr_comment","Q10_oa","Q10_rdm","Q10_fair","Q10_ethics","Q10_privacy","Q10_code","Q10_material","Q10_license","Q10_prereg","Q10_other_1","Q10_other_2","Q10_other_3","Q11_online","Q11_colloquium","Q11_consulting","Q11_mentoring","Q11_network","Q11_other_1","Q11_other_2","Q11_other_3","Q8_nb_pub","Q8_IF","Q8_quality","Q8_author_role","Q8_citation","Q8_grant","Q8_impact","Q8_teaching","Q8_supervision","Q8_services","Q8_citizenship","Q8_awards","Q8_network","Q8_ORPs","Q8_other_1","Q8_other_2","Q8_other_3","Q9_nb_pub","Q9_IF","Q9_quality","Q9_author_role","Q9_citation","Q9_grant","Q9_impact","Q9_teaching","Q9_supervision","Q9_services","Q9_citizenship","Q9_awards","Q9_network","Q9_ORPs","Q9_other_1","Q9_other_2","Q9_other_3","Q13","Q12_1","Q12_2","Q12_3","Q12_4","Q12_5","Q10_recruitment"
"KdsWLiNveGaWDB59EEnxv5_LHsoIQTlxrGxNl-Wjrc7GTCl-7JRs8IsD8vQT_j6L","153841","592","1","2024-12-04 12:53:04","2024-12-04 12:53:04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2DyjxKgglCbtQhS9QJ7Fy4kLm1sx1uOj0VAySLWmpl09pkWISulVCSF228-kWoLQ","153843","592","2","2024-12-04 12:56:54","2024-12-05 12:35:48","2024-12-05 12:35:48","","1","PIs","practicing","aware","practicing","practicing","practicing","aware","aware","beneficial","beneficial","beneficial","beneficial","beneficial","beneficial","beneficial","incentives","norms","incentives","norms","norms","training","training","","","","","","","","unsure","no","no","no","no","no","no","","","","","","","","written","workshop","workshop","written","written","workshop","workshop","written","workshop","","","","useless","useless","essential","useful","useless","","","","considerably","considerably","considerably","considerably","slightly","considerably","considerably","moderately","slightly","none","none","slightly","considerably","none","","","","slightly","moderately","considerably","considerably","slightly","considerably","moderately","considerably","considerably","slightly","none","slightly","moderately","considerably","","","","no","","","","","","none_wanted"
"Xm89UVCQPyLAFYxDuJY3pxDsdOJa14AfyBk-2wB-FSUE4iLhIuvXQRum5IySEtOu","153859","592","3","2024-12-04 13:33:37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2R8P6POeCxOfhevsgTaXP_Z5PGJq1GgmMXfT_l8JAmf9yKxaPQmUArLhPZ08WHAK","153860","592","4","2024-12-04 13:33:37","2024-12-04 13:59:10","2024-12-04 13:59:10","","1","PIs","practicing","unsure","unsure","using","unsure","unsure","unsure","beneficial","unsure","beneficial","beneficial","beneficial","unsure","unsure","policy","unsure","unsure","unsure","unsure","na","na","","","","","","","","no","unsure","no","no","no","unsure","unsure","","","","","","","","written","unsure","workshop","na","written","workshop","written","written","na","","","","useful","useful","useful","useless","useful","","","","considerably","considerably","moderately","considerably","unsure","moderately","slightly","moderately","slightly","slightly","unsure","moderately","slightly","none","","","","moderately","moderately","considerably","considerably","moderately","considerably","slightly","considerably","considerably","moderately","slightly","moderately","moderately","slightly","ability to teach in German (for medical faculty)","","","no","","","","","","none_needed"
"Fr6CZ_zY2vykCvawsvIbvBWg_-YrcuEKL2c-gQJfuLj15-84Hu-_eXcOUw1qYVWe","153862","592","5","2024-12-04 13:34:40","2024-12-04 13:35:52","","","1","PhDStudent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"lwQSHg6boFR4lwF6FgFmTjHv-k4Ikdi5NUaEVBdR_gKpo_pvlwgNIpBvPKOy7l1T","153863","592","6","2024-12-04 13:34:54","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"lJt_cQe9D3fCEZXFupSETnLQfONTfRMxYEZyX6_kOWYuGdFATCm7sKPERlnm3JGZ","153864","592","7","2024-12-04 13:34:54","2024-12-04 13:35:04","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5NBsd7R7byHV8zQtM3x3qeJNU6287S3AHyLtFrvHYjKbP1UbuiX7ks8PYP9Gaszz","153865","592","8","2024-12-04 13:34:58","2024-12-04 13:39:35","","","1","PhDStudent","unsure","unsure","unsure","unsure","unsure","unsure","using","beneficial","unsure","beneficial","unsure","neutral","beneficial","beneficial","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"xuWF59Gb4w3kPTCWzBO3RdsLsUwUET_uKjLPTPj9ajYmzKe5frI8pmD2E-HNpuWJ","153867","592","9","2024-12-04 13:38:07","2024-12-04 13:38:24","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"qIJRDYdnODxZ5OE1mrUJIRN9yRYWMPs6wMdjjY_6jLrMMxpGXZBe4I-vGJTKO888","153868","592","10","2024-12-04 13:38:11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
